统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
106,22594493656,22594575105,22594499957,22594572843,2741.719929,10.513327,23336.797704,89.486673,11.748484,851.173654
107,22594575127,22594669041,22594584578,22594658844,6290.939293,20.921268,23778.649100,79.078732,26.456252,377.982492
108,22594669062,22594762695,22594678394,22594754758,5529.225908,18.443284,24450.391295,81.556716,22.614059,442.202791
109,22594762718,22594850131,22594772031,22594844443,4803.052745,17.161063,23185.031355,82.838937,20.716180,482.714486
110,22594850153,22594931103,22594856347,22594926729,3383.685182,13.054972,22535.061549,86.945028,15.015203,665.991673
111,22594931115,22595012241,22594937352,22595007445,3532.569891,13.599832,22442.528901,86.400168,15.740516,635.303181
112,22595012249,22595093437,22595018409,22595087500,3873.243721,14.899985,22121.706366,85.100015,17.508793,571.141605
113,22595093444,22595174687,22595099689,22595171808,2921.342127,11.230506,23091.217979,88.769494,12.651312,790.431828
114,22595174693,22595262470,22595177785,22595251431,4524.494256,16.098750,23580.136154,83.901250,19.187736,521.166230
115,22595262491,22595349932,22595268626,22595341739,4587.570144,16.385906,23409.479057,83.614094,19.597062,510.280570
116,22595349953,22595437109,22595359160,22595428615,5667.544606,20.309560,22238.252676,79.690440,25.485566,392.378962
117,22595437119,22595524834,22595440211,22595513704,4553.630834,16.213874,23531.148282,83.786126,19.351503,516.755731
118,22595524855,22595612287,22595530984,22595604446,4472.944927,15.978132,23521.222635,84.021868,19.016634,525.855404
119,22595612307,22595699712,22595621658,22595691777,5534.669005,19.776901,22450.853638,80.223099,24.652377,405.640403
120,22595699733,22595787131,22595709083,22595779579,5411.719052,19.339115,22571.562316,80.660885,23.975828,417.086735
121,22595787152,22595874660,22595793674,22595864022,5494.326052,19.609636,22524.175355,80.390364,24.393018,409.953380
122,22595874683,22595961894,22595883979,22595957697,4320.218031,15.471672,23603.189271,84.528328,18.303535,546.342548
123,22595961906,22596049657,22595968094,22596039565,5212.565741,18.552495,22883.739933,81.447505,22.778470,439.011057
124,22596049678,22596143257,22596058827,22596132215,6464.798212,21.576422,23497.529154,78.423578,27.512672,363.468872
125,22596143278,22596230650,22596149402,22596223804,4152.762756,14.844573,23822.193875,85.155427,17.432327,573.646877
126,22596230671,22596318085,22596236936,22596309909,4623.750729,16.520237,23364.653553,83.479763,19.789511,505.318191
127,22596318107,22596405502,22596327501,22596398970,5099.221253,18.223010,22883.099568,81.776990,22.283787,448.756750
128,22596405529,22596493006,22596411777,22596484219,4813.938939,17.187375,23194.636821,82.812625,20.754535,481.822414
129,22596493027,22596580522,22596502338,22596574947,4766.231795,17.013544,23248.107243,82.986456,20.501591,487.767029
130,22596580544,22596667917,22596586752,22596661430,4064.712659,14.529660,23910.564155,85.470340,16.999652,588.247341
131,22596667973,22596761694,22596674083,22596753375,4619.908543,15.395696,25387.884691,84.604304,18.197296,549.532192
132,22596761715,22596849155,22596770953,22596842972,4937.529257,17.636093,23059.199762,82.363907,21.412405,467.019000
133,22596849176,22596930276,22596855354,22596925201,3603.009969,13.875462,22363.764087,86.124538,16.110928,620.696703
134,22596930297,22597017690,22596936570,22597012136,3786.794535,13.533121,24194.885922,86.466879,15.651219,638.927877
135,22597017709,22597105270,22597023956,22597099653,3798.641275,13.549411,24236.829787,86.450589,15.673012,638.039447
136,22597105292,22597192741,22597111438,22597182562,5226.973939,18.668024,22772.636719,81.331976,22.952871,435.675345
137,22597192762,22597286343,22597202049,22597275970,6294.781479,21.008538,23668.186251,78.991462,26.595961,375.996948
138,22597286360,22597380153,22597295773,22597370008,6262.122897,20.852302,23768.723453,79.147698,26.346063,379.563350
139,22597380177,22597467500,22597389392,22597460274,5264.115071,18.827800,22695.152634,81.172200,23.194887,431.129493
140,22597467518,22597554881,22597473662,22597546486,4655.128582,16.642057,23316.946410,83.357943,19.964572,500.887269
141,22597554903,22597642426,22597564267,22597636262,4971.788749,17.741622,23051.515390,82.258378,21.568164,463.646316
142,22597642443,22597736185,22597648623,22597728742,4361.841713,14.532440,25652.675346,85.467560,17.003457,588.115687
143,22597736206,22597823650,22597742325,22597816883,4125.867454,14.736288,23872.142294,85.263712,17.283189,578.596927
144,22597823671,22597911104,22597829784,22597902621,4673.378966,16.693926,23321.108778,83.306074,20.039266,499.020280
145,22597911126,22597998607,22597920426,22597993420,4638.479109,16.560167,23371.377379,83.439833,19.846837,503.858632
146,22597998625,22598092314,22598004632,22598081877,5265.075617,17.551687,24732.471787,82.448313,21.288109,469.745804
147,22598092336,22598185884,22598101576,22598176402,5994.450603,20.013255,23957.951116,79.986745,25.020715,399.668839
148,22598185901,22598279540,22598195292,22598272193,5359.209176,17.875031,24622.329120,82.124969,21.765647,459.439599
149,22598279558,22598366936,22598285781,22598360591,4024.049523,14.383483,23952.828201,85.616517,16.799893,595.241884
150,22598366957,22598447915,22598373245,22598445719,2716.425537,10.479508,23204.882650,89.520492,11.706267,854.243281
151,22598447924,22598522955,22598451033,22598519280,2172.115847,9.041596,21851.472614,90.958404,9.940364,1005.999410
152,22598522963,22598604149,22598526165,22598597902,3025.401332,11.638706,22968.908390,88.361294,13.171724,759.202032
153,22598604156,22598685331,22598610340,22598683669,2512.149312,9.665537,23478.638406,90.334463,10.699723,934.603620
154,22598685337,22598773049,22598688534,22598763156,4191.184616,14.923842,23892.633953,85.076158,17.541744,570.068755
155,22598773071,22598866827,22598782410,22598856457,6310.470405,21.021588,23708.529205,78.978412,26.616878,375.701456
156,22598866851,22598954502,22598876122,22598949113,4693.870625,16.725422,23370.416832,83.274578,20.084668,497.892224
157,22598954526,22599047925,22598960508,22599038240,5016.294071,16.774270,24888.400504,83.225730,20.155148,496.151146
158,22599047947,22599141625,22599057260,22599130634,6500.978797,21.674246,23493.046604,78.325754,27.671927,361.377069
159,22599141648,22599229118,22599147988,22599221896,4342.310601,15.504744,23664.023883,84.495256,18.349840,544.963870
160,22599229139,22599316534,22599235363,22599308616,4528.016260,16.181704,23454.304561,83.818296,19.305694,517.981898
161,22599316558,22599410302,22599325952,22599399930,6328.720789,21.085083,23686.436635,78.914917,26.718754,374.268947
162,22599410324,22599504009,22599419576,22599493747,6248.034882,20.829375,23748.231794,79.170625,26.309474,380.091217
163,22599504030,22599597738,22599513273,22599587285,6306.308037,21.018483,23697.322829,78.981517,26.611901,375.771730
164,22599597761,22599685163,22599606982,22599679155,4876.054280,17.424086,23108.507817,82.575914,21.100689,473.918182
165,22599685184,22599772632,22599691433,22599766724,3892.454651,13.901976,24106.835825,86.098024,16.146684,619.322201
166,22599772653,22599866261,22599778880,22599857930,4661.212043,15.552090,25310.400606,84.447910,18.416192,543.000412
167,22599866283,22599972532,22599875661,22599961461,6547.405212,19.246299,27471.630259,80.753701,23.833333,419.580420
168,22599972554,22600059970,22599978735,22600053742,3973.140558,14.195342,24015.904089,85.804658,16.543789,604.456443
169,22600059994,22600147374,22600066264,22600141260,3965.136004,14.172580,24012.382085,85.827420,16.512881,605.587855
170,22600147391,22600241137,22600153576,22600230289,5453.662916,18.169309,24562.134872,81.830691,22.203538,450.378677
171,22600241162,22600334674,22600250380,22600325661,5837.241157,19.495894,24103.634004,80.504106,24.217266,412.928528
172,22600334692,22600421932,22600343994,22600415228,5124.835827,18.347088,22807.856758,81.652912,22.469607,445.045608
173,22600421943,22600503046,22600428141,22600500494,2801.593995,10.788750,23166.140607,89.211250,12.093486,826.891429
174,22600503052,22600584331,22600506107,22600578626,2804.795817,10.777692,23219.290848,89.222308,12.079593,827.842466
175,22600584338,22600665492,22600590540,22600663690,2562.738095,9.862730,23421.325798,90.137270,10.941900,913.918041
176,22600665502,22600746655,22600668582,22600739157,3386.887003,13.034638,22596.856708,86.965362,14.988310,667.186614
177,22600746661,22600821625,22600749762,22600819490,1676.473847,6.984686,22325.662409,93.015314,7.509179,1331.703591
178,22600821631,22600896703,22600824712,22600893512,2008.182576,8.354646,22028.533354,91.645354,9.116279,1096.938776
179,22600896710,22600977855,22600899748,22600970705,3262.015957,12.555302,22719.166297,87.444698,14.357991,696.476247
180,22600977861,22601059269,22600980984,22601051203,3582.518310,13.744349,22482.871855,86.255651,15.934434,627.571722
181,22601059285,22601146911,22601068598,22601140969,4884.379016,17.409216,23171.903886,82.590784,21.078885,474.408391
182,22601146933,22601234360,22601153118,22601229444,3554.342279,12.697450,24438.224372,87.302550,14.544192,687.559679
183,22601234380,22601321713,22601240512,22601314978,4119.783992,14.733262,23842.685534,85.266738,17.279027,578.736302
184,22601321730,22601402875,22601327954,22601398625,3353.588057,12.907758,22627.594196,87.092242,14.820789,674.727898
185,22601402893,22601490565,22601409185,22601480381,5275.321447,18.792773,22795.689836,81.207227,23.141750,432.119446
186,22601490582,22601584174,22601499745,22601573036,6500.018250,21.690956,23466.471484,78.309044,27.699172,361.021625
187,22601584196,22601671551,22601590415,22601663120,4690.668803,16.770649,23278.844731,83.229351,20.149921,496.279863
188,22601671576,22601765193,22601680900,22601757928,5311.502032,17.720072,24662.992256,82.279928,21.536324,464.331786
189,22601765212,22601852400,22601771434,22601847551,3544.736813,12.697848,24371.306298,87.302152,14.544714,687.535001
190,22601852409,22601933605,22601858679,22601930347,3050.695724,11.734568,22946.815820,88.265432,13.294636,752.183039
191,22601933612,22602014807,22601936693,22602009302,2749.084119,10.574543,23248.107243,89.425457,11.824980,845.667365
192,22602014815,22602102659,22602021071,22602091613,5539.791920,19.696280,22586.290696,80.303720,24.527232,407.710091
193,22602102682,22602196352,22602108897,22602186873,5024.938989,16.754564,24966.524954,83.245436,20.126706,496.852300
194,22602196375,22602290022,22602205623,22602280088,6141.734401,20.483304,23842.365352,79.516696,25.759753,388.202481
195,22602290048,22602377540,22602299385,22602371769,4837.312237,17.267864,23176.066255,82.732136,20.872016,479.110405
196,22602377562,22602464880,22602383739,22602457009,4497.919136,16.088321,23459.747658,83.911679,19.172922,521.568907
197,22602464901,22602558646,22602474293,22602547863,6459.675297,21.521148,23555.802309,78.478852,27.422863,364.659232
198,22602558671,22602645900,22602564889,22602639681,3982.105659,14.257873,23947.064922,85.742127,16.628784,601.366889
