统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
144,23756743694,23756816672,23756744823,23756815566,715.607152,3.062567,22650.647312,96.937433,3.159323,3165.234899
145,23756816680,23756891850,23756817496,23756890352,740.901543,3.078356,23327.192239,96.921644,3.176128,3148.487468
146,23756891856,23756965752,23756893070,23756964334,842.719474,3.561762,22817.462223,96.438238,3.693309,2707.598784
147,23756965758,23757037696,23756967167,23757035982,999.928920,4.341238,22033.336087,95.658762,4.538255,2203.490234
148,23757037702,23757110858,23757039157,23757109348,949.340137,4.052983,22473.906754,95.947017,4.224188,2367.318718
149,23757110864,23757182636,23757112322,23757181326,886.264249,3.856657,22093.850517,96.143343,4.011362,2492.919075
150,23757182642,23757257072,23757183741,23757255728,782.205043,3.282279,23048.953933,96.717721,3.393668,2946.663938
151,23757257077,23757330362,23757258095,23757329004,760.752838,3.242137,22703.797553,96.757863,3.350774,2984.385522
152,23757330370,23757403610,23757331398,23757402251,764.274842,3.259148,22685.867351,96.740852,3.368947,2968.286552
153,23757403615,23757478264,23757404762,23757476799,836.315830,3.499042,23064.963041,96.500958,3.625914,2757.924962
154,23757478270,23757552623,23757479378,23757550949,890.746799,3.741611,22915.758150,96.258389,3.887049,2572.645579
155,23757552629,23757632100,23757554023,23757630644,912.519187,3.586214,24532.678113,96.413786,3.719607,2688.456140
156,23757632106,23757704501,23757633138,23757703224,739.300632,3.189447,22440.287626,96.810553,3.294524,3035.339974
157,23757704507,23757778720,23757705578,23757777357,779.323404,3.279749,22982.356041,96.720251,3.390964,2949.013969
158,23757778726,23757835119,23757779888,23757833753,809.420528,4.482826,17246.612633,95.517174,4.693215,2130.735759
159,23757835125,23757910169,23757836112,23757908713,782.205043,3.255423,23245.545786,96.744577,3.364967,2971.796971
160,23757910175,23757986108,23757911199,23757984886,719.129156,2.957871,23593.263623,97.042129,3.048027,3280.810329
161,23757986114,23758062183,23757987266,23758060453,922.765016,3.788666,23433.172538,96.211334,3.937858,2539.451770
162,23758062189,23758136571,23758063653,23758135351,859.368947,3.608400,22956.421285,96.391600,3.743480,2671.311475
163,23758136577,23758212946,23758137590,23758211424,811.661803,3.319410,23640.330402,96.680590,3.433378,2912.583826
164,23758212953,23758286644,23758214115,23758285250,818.385629,3.468538,22776.158723,96.531462,3.593168,2783.059468
165,23758286650,23758359422,23758287833,23758358317,732.576807,3.144066,22567.720130,96.855934,3.246127,3080.594406
166,23758359427,23758434833,23758360298,23758433234,790.849962,3.275601,23352.806813,96.724399,3.386531,2952.874494
167,23758434839,23758506027,23758435966,23758504369,891.707346,3.912176,21901.421033,96.087824,4.071459,2456.122083
168,23758506035,23758579176,23758507157,23758577651,847.522206,3.619037,22570.921952,96.380963,3.754929,2663.165848
169,23758579182,23758657884,23758580311,23758656593,774.840853,3.074890,24424.136357,96.925110,3.172439,3152.148760
170,23758657891,23758726244,23758658747,23758724970,681.988024,3.116176,21203.423900,96.883824,3.216405,3109.061033
171,23758726250,23758797120,23758727256,23758794744,1082.856102,4.772118,21608.454346,95.227882,5.011261,1995.505618
172,23758797126,23758867525,23758798167,23758865973,830.232369,3.683291,21710.272277,96.316709,3.824145,2614.963363
173,23758867530,23758934193,23758868978,23758932816,904.514633,4.237733,20439.789423,95.762267,4.425264,2259.752212
174,23758934198,23759008304,23758935330,23759006825,835.995648,3.523331,22891.424305,96.476669,3.652004,2738.222903
175,23759008310,23759079181,23759009583,23759077793,852.004757,3.754709,21839.625874,96.245291,3.901188,2563.322059
176,23759079186,23759145697,23759080259,23759144485,731.616260,3.435522,20564.020105,96.564478,3.557749,2810.765864
177,23759145703,23759217719,23759146683,23759216353,751.147373,3.257609,22307.091843,96.742391,3.367303,2969.735720
