统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
88,78290560879,78290617604,78290561790,78290615623,925.966838,5.098281,17236.366803,94.901719,5.372169,1861.445367
89,78290617611,78290671402,78290618518,78290670048,723.931888,4.203305,16498.987264,95.796695,4.387735,2279.080053
90,78290671409,78290725493,78290672289,78290724152,711.124601,4.106575,16605.607927,95.893425,4.282436,2335.119316
91,78290725499,78290780213,78290726469,78290778687,799.174698,4.561904,16719.272597,95.438096,4.779961,2092.067308
92,78290780220,78290837508,78290781195,78290835650,907.076090,4.945189,17435.520114,95.054811,5.202461,1922.167314
93,78290837514,78290892314,78290838554,78290890420,939.414489,5.354015,16606.568473,94.645985,5.656885,1767.757328
94,78290892321,78290948001,78290893240,78290946637,730.975896,4.100216,17096.767377,95.899784,4.275521,2338.896189
95,78290948009,78291003990,78290949210,78291002556,843.680020,4.706954,17080.438086,95.293046,4.939452,2024.516129
96,78291004000,78291059956,78291004981,78291058467,790.849962,4.414183,17125.263590,95.585817,4.618031,2165.425101
97,78291059962,78291114241,78291060833,78291112772,749.226280,4.311060,16629.941772,95.688940,4.505285,2219.615385
98,78291114247,78291169843,78291115204,78291168341,787.327958,4.422980,17013.520012,95.577020,4.627661,2160.919073
99,78291169850,78291228862,78291171560,78291227441,1002.490377,5.305701,17892.099889,94.694299,5.602978,1784.765251
100,78291228869,78291285788,78291229963,78291284336,815.183807,4.473023,17409.265176,95.526977,4.682471,2135.624509
101,78291285795,78291338465,78291286865,78291337023,804.297613,4.769318,16059.697325,95.230682,5.008174,1996.735669
102,78291338472,78291393279,78291339387,78291390983,1028.104951,5.858741,16520.119287,94.141259,6.223351,1606.851448
103,78291393288,78291450697,78291396157,78291449196,1399.196087,7.612047,16982.142160,92.387953,8.239220,1213.707094
104,78291450703,78291508269,78291452030,78291506256,1069.408451,5.802036,17362.198396,94.197964,6.159407,1623.532934
105,78291508276,78291564802,78291509739,78291563013,1041.232420,5.753105,17057.384970,94.246895,6.104291,1638.191882
106,78291564809,78291620268,78291565905,78291618653,868.013865,4.888296,16888.969148,95.111704,5.139531,1945.702693
107,78291620275,78291677498,78291621242,78291675120,1071.009361,5.845552,17250.775001,94.154448,6.208471,1610.702541
108,78291677505,78291734927,78291678476,78291732455,1102.387214,5.995960,17283.113400,94.004040,6.378406,1567.789718
109,78291734936,78291792271,78291737136,78291790076,1407.200641,7.665475,16950.444125,92.334525,8.301851,1204.550626
110,78291792278,78291850573,78291793793,78291849124,949.019954,5.084484,17715.999695,94.915516,5.356852,1866.767881
111,78291850580,78291907454,78291851480,78291904953,1088.939563,5.979885,17121.101222,94.020115,6.360219,1572.272861
112,78291907464,78291964885,78291908398,78291961726,1310.505625,7.128054,17074.674807,92.871946,7.675143,1302.907403
113,78291964896,78292019410,78291965873,78292017952,779.643586,4.466742,16674.767276,95.533258,4.675589,2138.767967
114,78292019417,78292074481,78292020359,78292073065,754.989559,4.282290,16875.521497,95.717710,4.473874,2235.199321
115,78292074487,78292130250,78292075434,78292128776,775.161036,4.341589,17079.157357,95.658411,4.538637,2203.304420
116,78292130256,78292186712,78292131217,78292184857,901.632993,4.987955,17174.571644,95.012045,5.249814,1904.829545
117,78292186719,78292241703,78292188080,78292240298,885.623885,5.030554,16719.272597,94.969446,5.297024,1887.852495
118,78292241710,78292298540,78292242641,78292296488,955.103416,5.248988,17240.849354,94.751012,5.539770,1805.129065
119,78292298551,78292353464,78292299750,78292352102,819.986540,4.663741,16762.177008,95.336259,4.891886,2044.201484
120,78292353470,78292462713,78292354364,78292461257,752.428101,2.151168,34225.232788,97.848832,2.198460,4548.638298
121,78292462719,78292517654,78292463658,78292516263,746.024458,4.241376,16843.183097,95.758624,4.429237,2257.725322
122,78292517661,78292570781,78292518522,78292569373,726.493346,4.271461,16281.583570,95.728539,4.462056,2241.119436
123,78292570788,78292625312,78292571741,78292623856,771.318850,4.418238,16686.293834,95.581762,4.622470,2163.345787
124,78292625318,78292683316,78292626268,78292679502,1525.347862,8.214076,17044.577683,91.785924,8.949168,1117.422334
125,78292683322,78292737596,78292684354,78292736263,757.230834,4.357519,16620.336307,95.642481,4.556050,2194.883721
126,78292737602,78292792818,78292738662,78292791403,792.450873,4.482396,16886.727873,95.517604,4.692744,2130.949495
127,78292792824,78292851255,78292793808,78292849662,825.109454,4.410330,17883.454971,95.589670,4.613815,2167.403958
128,78292851269,78292906494,78292852258,78292904920,820.626904,4.641014,16861.433481,95.358986,4.866887,2054.701522
129,78292906501,78292958949,78292907364,78292957516,735.138264,4.377669,16057.776232,95.622331,4.578083,2184.320557
130,78292958956,78293012542,78292959885,78293011224,719.449338,4.193259,16437.832469,95.806741,4.376790,2284.779706
131,78293012562,78293065874,78293013576,78293064436,785.086683,4.599340,16284.465209,95.400660,4.821077,2074.225122
132,78293065881,78293126653,78293066853,78293125349,728.734621,3.745146,18729.376266,96.254854,3.890864,2570.123023
133,78293126659,78293181161,78293127526,78293180033,638.763431,3.660416,16811.805245,96.339584,3.799493,2631.929825
134,78293181166,78293234171,78293182042,78293232935,676.224745,3.984530,16295.031221,96.015470,4.149883,2409.706439
135,78293234178,78293290613,78293235022,78293288958,800.135245,4.428103,17269.345567,95.571897,4.633269,2158.303321
136,78293290653,78293346367,78293292002,78293344902,900.992629,5.050795,16937.636838,94.949205,5.319471,1879.886283
137,78293346372,78293401393,78293347526,78293400024,807.819617,4.585522,16808.923605,95.414478,4.805897,2080.776853
138,78293401398,78293456388,78293402789,78293454764,965.349245,5.482815,16641.468330,94.517185,5.800866,1723.880597
139,78293456394,78293512588,78293457878,78293510960,996.406916,5.537958,16995.909993,94.462042,5.862628,1705.719794
140,78293512596,78293566933,78293513966,78293565480,903.874268,5.195355,16493.864349,94.804645,5.480064,1824.796316
141,78293566940,78293624258,78293568141,78293620779,1498.452560,8.164974,16853.749109,91.835026,8.890915,1124.743590
142,78293624265,78293682236,78293625582,78293680377,1016.898575,5.478601,17544.382052,94.521399,5.796149,1725.283375
143,78293682242,78293737742,78293683734,78293736029,1026.183858,5.774775,16743.926624,94.225225,6.128693,1631.669267
144,78293737790,78293793730,78293739260,78293792242,947.098861,5.287808,16963.891776,94.712192,5.583028,1791.142664
145,78293793765,78293849527,78293795074,78293848086,880.500970,4.931674,16973.497241,95.068326,5.187505,1927.709091
146,78293849533,78293905836,78293850676,78293904104,920.523741,5.106300,17106.693024,94.893700,5.381074,1858.365217
147,78293905842,78293962818,78293907154,78293961335,894.909168,4.905574,17347.790199,95.094426,5.158635,1938.497317
148,78293962824,78294018522,78293964322,78294016968,977.195985,5.479550,16856.310566,94.520450,5.797212,1724.967235
149,78294018527,78294074603,78294019982,78294073070,956.704326,5.328483,16997.831086,94.671517,5.628391,1776.706827
150,78294074608,78294131012,78294076090,78294129322,1015.617846,5.623715,17043.937319,94.376285,5.958822,1678.184111
151,78294131018,78294187322,78294132442,78294185690,978.476714,5.427678,17049.060233,94.572322,5.739183,1742.408377
152,78294187328,78294243404,78294188982,78294241689,1078.693734,6.007918,16875.841679,93.992082,6.391940,1564.470169
153,78294243411,78294299723,78294245000,78294298162,1008.573838,5.593834,17021.524567,94.406166,5.925285,1687.682540
154,78294299728,78294356189,78294301119,78294354621,947.419044,5.240786,17130.386505,94.759214,5.530634,1808.110848
155,78294356196,78294412159,78294357334,78294410745,817.104900,4.560156,17101.249927,95.439844,4.778042,2092.907524
156,78294412165,78294468409,78294413260,78294466948,818.385629,4.544485,17189.940388,95.455515,4.760840,2100.469484
157,78294468415,78294527301,78294469514,78294525714,860.009311,4.561356,17994.238002,95.438644,4.779359,2092.330603
158,78294527307,78294583739,78294528930,78294582430,938.774125,5.195634,17129.746140,94.804366,5.480374,1824.693042
159,78294583747,78294639712,78294584830,78294638161,843.359838,4.706513,17075.635353,95.293487,4.938966,2024.715262
160,78294639749,78294693078,78294640931,78294691633,841.118563,4.926025,16233.876426,95.073975,5.181255,1930.034260
161,78294693083,78294746245,78294694313,78294744657,902.273357,5.300779,16119.251209,94.699221,5.597489,1786.515259
162,78294746251,78294802620,78294747597,78294800925,973.673982,5.394809,17074.674807,94.605191,5.702445,1753.633673
163,78294802654,78294861585,78294804072,78294860021,954.783233,5.060155,17913.872277,94.939845,5.329854,1876.224011
164,78294861594,78294917667,78294862752,78294916464,755.950105,4.210583,17197.624761,95.789417,4.395666,2274.968234
165,78294917673,78294974017,78294918756,78294972694,770.358303,4.270197,17269.985931,95.729803,4.460677,2241.812136
166,78294974022,78295028909,78294975367,78295027694,819.666357,4.664128,16754.172454,95.335872,4.892312,2044.023438
167,78295028916,78295083501,78295029780,78295081938,777.082129,4.446276,16700.061667,95.553724,4.653169,2149.072930
168,78295083507,78295139521,78295084963,78295138068,931.409935,5.193345,17003.274183,94.806655,5.477827,1825.541423
169,78295139527,78295195741,78295141041,78295194348,930.769571,5.171310,17067.950981,94.828690,5.453318,1833.746130
170,78295195747,78295249385,78295196959,78295247565,970.792342,5.652709,16203.138938,94.347291,5.991384,1669.063325
171,78295249390,78295305246,78295250930,78295303665,999.288555,5.587582,16884.806780,94.412418,5.918271,1689.682794
172,78295305252,78295361339,78295306728,78295359956,915.400826,5.097438,17042.656590,94.902562,5.371233,1861.769850
173,78295361345,78295416050,78295362765,78295414912,819.025993,4.675989,16696.539663,95.324011,4.905364,2038.584832
174,78295416056,78295470895,78295416896,78295469391,750.507008,4.274330,16807.963059,95.725670,4.465187,2239.547782
175,78295470899,78295527051,78295472834,78295525517,1110.711951,6.177874,16868.157307,93.822126,6.584667,1518.679735
176,78295527056,78295582934,78295528603,78295581574,930.769571,5.202405,16960.369772,94.797595,5.487908,1822.187822
177,78295582939,78295636318,78295584506,78295634783,993.205094,5.811274,16097.799004,94.188726,6.169819,1620.793037
178,78295636323,78295677599,78295637719,78295676013,954.783233,7.224537,12261.056050,92.775463,7.787121,1284.171697
179,78295677605,78295733534,78295678961,78295732402,796.613241,4.448497,17110.855392,95.551503,4.655602,2147.950161
180,78295733540,78295789090,78295734720,78295787686,827.350729,4.651665,16958.768861,95.348335,4.878601,2049.767802
181,78295789096,78295842539,78295790093,78295841004,810.701257,4.737758,16300.794500,95.262242,4.973385,2010.703002
182,78295842545,78295899169,78295843810,78295897397,972.393253,5.363450,17157.601989,94.636550,5.667419,1764.471518
183,78295899175,78295954814,78295900756,78295953660,875.698237,4.915617,16938.917567,95.084383,5.169741,1934.332724
184,78295954820,78296007929,78295955773,78296006572,739.620815,4.349545,16264.934097,95.650455,4.547334,2199.090909
185,78296007936,78296063307,78296008878,78296061978,727.133710,4.101425,17001.673272,95.898575,4.276836,2338.177015
186,78296063313,78296117442,78296064437,78296115829,876.338602,5.056439,16454.802124,94.943561,5.325732,1877.676288
