统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%),,单程1,单程2
83,14386349,14386443,14386381,14386427,48,51.06383,46,48.93617,104.347826,95.833333,,32,16
84,14386443,14386537,14386474,14386505,63,67.021277,31,32.978723,203.225806,49.206349,,31,32
85,14386537,14386599,14386552,14386568,46,74.193548,16,25.806452,287.5,34.782609,,15,31
86,14386599,14386693,14386630,14386646,78,82.978723,16,17.021277,487.5,20.512821,,31,47
87,14386693,14386739,14386693,14386724,15,32.608696,31,67.391304,48.387097,206.666667,,0,15
88,14386739,14386849,14386771,14386802,79,71.818182,31,28.181818,254.83871,39.240506,,32,47
89,14386849,14386895,14386849,14386864,31,67.391304,15,32.608696,206.666667,48.387097,,0,31
90,14386895,14386942,14386911,14386942,16,34.042553,31,65.957447,51.612903,193.75,,16,0
91,14386942,14387036,14386989,14387005,78,82.978723,16,17.021277,487.5,20.512821,,47,31
92,14387036,14387098,14387067,14387083,46,74.193548,16,25.806452,287.5,34.782609,,31,15
93,14387098,14387192,14387129,14387161,62,65.957447,32,34.042553,193.75,51.612903,,31,31
94,14387192,14387239,14387207,14387223,31,65.957447,16,34.042553,193.75,51.612903,,15,16
95,14387239,14387348,14387270,14387301,78,71.559633,31,28.440367,251.612903,39.74359,,31,47
96,14387348,14387395,14387348,14387379,16,34.042553,31,65.957447,51.612903,193.75,,0,16
97,14387395,14387488,14387426,14387441,78,83.870968,15,16.129032,520,19.230769,,31,47
98,14387488,14387535,14387504,14387519,32,68.085106,15,31.914894,213.333333,46.875,,16,16
99,14387535,14387597,14387566,14387597,31,50,31,50,100,100,,31,0
100,14387597,14387691,14387644,14387660,78,82.978723,16,17.021277,487.5,20.512821,,47,31
101,14387691,14387738,14387707,14387738,16,34.042553,31,65.957447,51.612903,193.75,,16,0
102,14387738,14387847,14387785,14387816,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
103,14387847,14387894,14387863,14387878,32,68.085106,15,31.914894,213.333333,46.875,,16,16
104,14387894,14387987,14387925,14387956,62,66.666667,31,33.333333,200,50,,31,31
105,14387987,14388050,14388003,14388019,47,74.603175,16,25.396825,293.75,34.042553,,16,31
106,14388050,14388143,14388081,14388097,77,82.795699,16,17.204301,481.25,20.779221,,31,46
107,14388143,14388190,14388143,14388175,15,31.914894,32,68.085106,46.875,213.333333,,0,15
108,14388190,14388299,14388221,14388253,77,70.642202,32,29.357798,240.625,41.558442,,31,46
109,14388299,14388346,14388299,14388315,31,65.957447,16,34.042553,193.75,51.612903,,0,31
110,14388346,14388440,14388362,14388393,63,67.021277,31,32.978723,203.225806,49.206349,,16,47
111,14388440,14388549,14388487,14388518,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
112,14388549,14388596,14388565,14388580,32,68.085106,15,31.914894,213.333333,46.875,,16,16
113,14388596,14388689,14388643,14388658,78,83.870968,15,16.129032,520,19.230769,,47,31
114,14388689,14388736,14388705,14388736,16,34.042553,31,65.957447,51.612903,193.75,,16,0
115,14388736,14388845,14388783,14388814,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
116,14388845,14388892,14388861,14388877,31,65.957447,16,34.042553,193.75,51.612903,,16,15
117,14388892,14388986,14388939,14388955,78,82.978723,16,17.021277,487.5,20.512821,,47,31
