统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
198,29506419,29506450,29506419,29506450,0,0.000000,31,100.000000,0.000000,1.000000
199,29506450,29506481,29506450,29506465,16,51.612903,15,48.387097,106.666667,93.750000
200,29506481,29506512,29506481,29506497,15,48.387097,16,51.612903,93.750000,106.666667
201,29506512,29506528,29506512,29506528,0,0.000000,16,100.000000,0.000000,1.000000
202,29506528,29506559,29506528,29506543,16,51.612903,15,48.387097,106.666667,93.750000
203,29506559,29506590,29506559,29506575,15,48.387097,16,51.612903,93.750000,106.666667
204,29506590,29506621,29506590,29506606,15,48.387097,16,51.612903,93.750000,106.666667
205,29506621,29506653,29506621,29506637,16,50.000000,16,50.000000,100.000000,100.000000
206,29506653,29506668,29506653,29506668,0,0.000000,15,100.000000,0.000000,1.000000
207,29506668,29506699,29506684,29506699,16,51.612903,15,48.387097,106.666667,93.750000
208,29506699,29506731,29506699,29506715,16,50.000000,16,50.000000,100.000000,100.000000
209,29506731,29506762,29506731,29506746,16,51.612903,15,48.387097,106.666667,93.750000
210,29506762,29506777,29506762,29506777,0,0.000000,15,100.000000,0.000000,1.000000
211,29506777,29506809,29506793,29506809,16,50.000000,16,50.000000,100.000000,100.000000
212,29506809,29506840,29506824,29506840,15,48.387097,16,51.612903,93.750000,106.666667
213,29506840,29506871,29506855,29506871,15,48.387097,16,51.612903,93.750000,106.666667
214,29506871,29506902,29506887,29506902,16,51.612903,15,48.387097,106.666667,93.750000
215,29506902,29506933,29506918,29506933,16,51.612903,15,48.387097,106.666667,93.750000
216,29506933,29506965,29506933,29506949,16,50.000000,16,50.000000,100.000000,100.000000
217,29506965,29506996,29506980,29506996,15,48.387097,16,51.612903,93.750000,106.666667
218,29506996,29507027,29506996,29507011,16,51.612903,15,48.387097,106.666667,93.750000
219,29507027,29507058,29507027,29507043,15,48.387097,16,51.612903,93.750000,106.666667
220,29507058,29507074,29507058,29507074,0,0.000000,16,100.000000,0.000000,1.000000
221,29507074,29507105,29507089,29507105,15,48.387097,16,51.612903,93.750000,106.666667
222,29507105,29507136,29507105,29507121,15,48.387097,16,51.612903,93.750000,106.666667
223,29507136,29507152,29507136,29507152,0,0.000000,16,100.000000,0.000000,1.000000
224,29507152,29507183,29507167,29507183,15,48.387097,16,51.612903,93.750000,106.666667
225,29507183,29507214,29507199,29507214,16,51.612903,15,48.387097,106.666667,93.750000
226,29507214,29507230,29507214,29507230,0,0.000000,16,100.000000,0.000000,1.000000
227,29507230,29507261,29507245,29507261,15,48.387097,16,51.612903,93.750000,106.666667
228,29507261,29507292,29507277,29507292,16,51.612903,15,48.387097,106.666667,93.750000
229,29507292,29507323,29507308,29507323,16,51.612903,15,48.387097,106.666667,93.750000
230,29507323,29507355,29507339,29507355,16,50.000000,16,50.000000,100.000000,100.000000
231,29507355,29507386,29507355,29507370,16,51.612903,15,48.387097,106.666667,93.750000
232,29507386,29507401,29507386,29507401,0,0.000000,15,100.000000,0.000000,1.000000
233,29507401,29507433,29507417,29507433,16,50.000000,16,50.000000,100.000000,100.000000
234,29507433,29507464,29507433,29507464,0,0.000000,31,100.000000,0.000000,1.000000
235,29507464,29507479,29507464,29507479,0,0.000000,15,100.000000,0.000000,1.000000
236,29507479,29507511,29507495,29507511,16,50.000000,16,50.000000,100.000000,100.000000
237,29507511,29507542,29507526,29507542,15,48.387097,16,51.612903,93.750000,106.666667
238,29507542,29507557,29507542,29507557,0,0.000000,15,100.000000,0.000000,1.000000
239,29507557,29507589,29507573,29507589,16,50.000000,16,50.000000,100.000000,100.000000
240,29507589,29507620,29507604,29507620,15,48.387097,16,51.612903,93.750000,106.666667
241,29507620,29507651,29507635,29507651,15,48.387097,16,51.612903,93.750000,106.666667
242,29507651,29507698,29507667,29507682,32,68.085106,15,31.914894,213.333333,46.875000
243,29507698,29507713,29507698,29507713,0,0.000000,15,100.000000,0.000000,1.000000
244,29507713,29507745,29507729,29507745,16,50.000000,16,50.000000,100.000000,100.000000
245,29507745,29507776,29507745,29507776,0,0.000000,31,100.000000,0.000000,1.000000
246,29507776,29507807,29507776,29507791,16,51.612903,15,48.387097,106.666667,93.750000
247,29507807,29507838,29507823,29507838,16,51.612903,15,48.387097,106.666667,93.750000
248,29507838,29507869,29507838,29507854,15,48.387097,16,51.612903,93.750000,106.666667
249,29507869,29507901,29507869,29507885,16,50.000000,16,50.000000,100.000000,100.000000
250,29507901,29507916,29507901,29507916,0,0.000000,15,100.000000,0.000000,1.000000
251,29507916,29507947,29507916,29507947,0,0.000000,31,100.000000,0.000000,1.000000
252,29507947,29507979,29507947,29507963,16,50.000000,16,50.000000,100.000000,100.000000
253,29507979,29507994,29507979,29507994,0,0.000000,15,100.000000,0.000000,1.000000
254,29507994,29508025,29508010,29508025,16,51.612903,15,48.387097,106.666667,93.750000
255,29508025,29508057,29508025,29508041,16,50.000000,16,50.000000,100.000000,100.000000
256,29508057,29508072,29508057,29508072,0,0.000000,15,100.000000,0.000000,1.000000
257,29508072,29508103,29508088,29508103,16,51.612903,15,48.387097,106.666667,93.750000
258,29508103,29508135,29508103,29508135,0,0.000000,32,100.000000,0.000000,1.000000
259,29508135,29508150,29508135,29508150,0,0.000000,15,100.000000,0.000000,1.000000
