统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
200,7557952,7557998,7557967,7557983,30,65.217391,16,34.782609,187.5,53.333333
201,7557998,7558108,7558030,7558061,79,71.818182,31,28.181818,254.83871,39.240506
202,7558108,7558154,7558108,7558139,15,32.608696,31,67.391304,48.387097,206.666667
203,7558154,7558264,7558186,7558201,95,86.363636,15,13.636364,633.333333,15.789474
204,7558264,7558310,7558264,7558279,31,67.391304,15,32.608696,206.666667,48.387097
205,7558310,7558404,7558326,7558357,63,67.021277,31,32.978723,203.225806,49.206349
206,7558404,7558451,7558404,7558435,16,34.042553,31,65.957447,51.612903,193.75
207,7558451,7558560,7558482,7558513,78,71.559633,31,28.440367,251.612903,39.74359
208,7558560,7558607,7558560,7558591,16,34.042553,31,65.957447,51.612903,193.75
209,7558607,7558700,7558638,7558669,62,66.666667,31,33.333333,200,50
210,7558700,7558763,7558716,7558732,47,74.603175,16,25.396825,293.75,34.042553
211,7558763,7558856,7558794,7558810,77,82.795699,16,17.204301,481.25,20.779221
212,7558856,7558903,7558872,7558888,31,65.957447,16,34.042553,193.75,51.612903
213,7558903,7559012,7558934,7558966,77,70.642202,32,29.357798,240.625,41.558442
214,7559012,7559059,7559012,7559044,15,31.914894,32,68.085106,46.875,213.333333
215,7559059,7559153,7559090,7559106,78,82.978723,16,17.021277,487.5,20.512821
216,7559153,7559200,7559168,7559184,31,65.957447,16,34.042553,193.75,51.612903
217,7559200,7559309,7559231,7559262,78,71.559633,31,28.440367,251.612903,39.74359
218,7559309,7559356,7559309,7559340,16,34.042553,31,65.957447,51.612903,193.75
219,7559356,7559449,7559387,7559402,78,83.870968,15,16.129032,520,19.230769
220,7559449,7559512,7559465,7559480,48,76.190476,15,23.809524,320,31.25
221,7559512,7559605,7559527,7559558,62,66.666667,31,33.333333,200,50
222,7559605,7559652,7559605,7559636,16,34.042553,31,65.957447,51.612903,193.75
