统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
114,75174960940,75175117119,75175026546,75175099991,26489.951723,52.973831,23515.779538,47.026169,112.647559,88.772451
115,75175117141,75175429569,75175254815,75175326540,77068.809070,77.042711,22965.066204,22.957289,335.591495,29.798133
116,75175429590,75175585615,75175482603,75175559252,25414.779993,50.873898,24541.643213,49.126102,103.557776,96.564453
117,75175585640,75175897968,75175713499,75175785939,76807.860600,76.806434,23193.996456,23.193566,331.154059,30.197425
118,75175897992,75176054147,75175941804,75176023750,23760.398716,47.522654,26237.648172,52.477346,90.558417,110.425959
119,75176054167,75176366943,75176179068,75176249685,77534.994310,77.422500,22610.304359,22.577500,342.918844,29.161419
120,75176366963,75176522649,75176407021,75176479219,26731.369080,53.625888,23116.512371,46.374112,115.637552,86.477099
121,75176522670,75176834774,75176634957,75176708632,76340.714813,76.394087,23589.421437,23.605913,323.622667,30.900184
122,75176834787,75176990816,75176862846,75176938103,25861.754304,51.767300,24095.949632,48.232700,107.328222,93.172139
123,75176990825,75177303157,75177093977,75177169859,75707.074297,75.704699,24296.063488,24.295301,311.602225,32.092197
124,75177303164,75177459324,75177325001,75177396015,27262.231119,54.524846,22737.416681,45.475154,119.900301,83.402626
125,75177459334,75177771766,75177549969,75177622934,76673.063906,76.646118,23362.092096,23.353882,328.194340,30.469752
126,75177771774,75177928248,75177778009,75177850134,27007.045929,53.906080,23093.139072,46.093920,116.948354,85.507831
127,75177928271,75178240360,75178006258,75178081769,75748.057615,75.804658,24177.275903,24.195342,313.302698,31.918014
128,75178240385,75178553024,75178393406,75178465876,76897.831790,76.819911,23203.601921,23.180089,331.404719,30.174585
129,75178553046,75178708742,75178621543,75178698175,25314.883156,50.781009,24536.200116,49.218991,103.173609,96.924011
130,75178708750,75179021219,75178852531,75178922060,77785.056586,77.748513,22261.946157,22.251487,349.408161,28.619824
131,75179021251,75179177192,75179077418,75179150328,26585.045828,53.245138,23344.482077,46.754862,113.881498,87.810577
132,75179177200,75179489578,75179305265,75179387505,73686.084435,73.672922,26331.781731,26.327078,279.837062,35.735081
133,75179489587,75179645911,75179542535,75179618233,25815.007707,51.576214,24237.149969,48.423786,106.510080,93.887828
134,75179645918,75179958128,75179773874,75179845999,76870.936488,76.898562,23093.139072,23.101438,332.873484,30.041444
135,75179958138,75180114246,75180001766,75180074247,26775.874401,53.569964,23207.123925,46.430036,115.377823,86.671769
136,75180114254,75180426770,75180229767,75180302573,76750.868174,76.703273,23311.183131,23.296727,329.244842,30.372533
137,75180426777,75180582786,75180457895,75180528770,27258.388933,54.569929,22692.911359,45.430071,120.118519,83.251110
138,75180582793,75180895024,75180682680,75180755958,76508.490271,76.530838,23462.309115,23.469162,326.091051,30.666282
139,75180895032,75181051238,75180910573,75180980618,27587.216022,55.158573,22427.160157,44.841427,123.008066,81.295482
140,75181051250,75181363531,75181135588,75181207883,76839.238453,76.849376,23147.570041,23.150624,331.953800,30.124674
141,75181363540,75181675922,75181519733,75181592296,76785.768031,76.771069,23233.378863,23.228931,330.497637,30.257402
142,75181675928,75181988273,75181747785,75181839365,70685.016947,70.679857,29322.283206,29.320143,241.062459,41.483025
143,75181988280,75182144387,75181994519,75182064147,27689.033953,55.397260,22293.644192,44.602740,124.201471,80.514345
144,75182144394,75182300628,75182219308,75182291905,26779.076223,53.533162,23244.265057,46.466838,115.207240,86.800100
145,75182300637,75182612938,75182447360,75182520143,76689.393197,76.694599,23303.818941,23.305401,329.085089,30.387278
146,75182612978,75182769091,75182675413,75182751050,25766.980381,51.549839,24217.618856,48.450161,106.397663,93.987027
147,75182769101,75183081482,75182906418,75182979059,76760.473639,76.746025,23258.353073,23.253975,330.034003,30.299908
148,75183081490,75183237696,75183134515,75183207174,26750.259828,53.485141,23264.116352,46.514859,114.985067,86.967815
149,75183237704,75183549959,75183362513,75183437999,75809.212409,75.825527,24169.271349,24.174473,313.659487,31.881707
150,75183549966,75183706125,75183593553,75183663486,27608.027864,55.216798,22391.299754,44.783202,123.298014,81.104307
151,75183706134,75184018508,75183818629,75183889589,77296.458593,77.283641,22720.126843,22.716359,340.211387,29.393490
152,75184018518,75184174543,75184043428,75184113046,27665.980836,55.380228,22290.442370,44.619772,124.115890,80.569861
153,75184174550,75184487046,75184268315,75184338149,77696.045942,77.652834,22359.601719,22.347166,347.484034,28.778301
154,75184487054,75184643112,75184493218,75184565476,26831.265917,53.697984,23135.723301,46.302016,115.973318,86.226730
155,75184643118,75184799239,75184721088,75184790956,27616.672782,55.247532,22370.487913,44.752468,123.451365,81.003559
156,75184799246,75185111616,75184946117,75185018642,76794.092767,76.782341,23221.211941,23.217659,330.706653,30.238279
157,75185111654,75185267745,75185174100,75185246979,26642.998801,53.309928,23334.556429,46.690072,114.178296,87.582320
